throughput	time
75070.733	2019-08-28T13:55:40.000Z
57125.5	2019-08-28T13:56:10.000Z
6103.9	2019-08-28T13:56:40.000Z
34069.167	2019-08-28T13:57:10.000Z
36965.634	2019-08-28T13:57:40.000Z
44919.5	2019-08-28T13:58:10.000Z
21692.067	2019-08-28T13:58:40.000Z
11954.8	2019-08-28T13:59:10.000Z
19530.333	2019-08-28T13:59:40.000Z
7546.566	2019-08-28T14:00:10.000Z
16842.5	2019-08-28T14:00:40.000Z
15964.533	2019-08-28T14:01:10.000Z
3793.3	2019-08-28T14:01:40.000Z
38690.633	2019-08-28T14:02:10.000Z
61107.567	2019-08-28T14:02:40.000Z
59234.967	2019-08-28T14:03:10.000Z
66620.334	2019-08-28T14:03:40.000Z
67086.5	2019-08-28T14:04:10.000Z
79935.933	2019-08-28T14:04:40.000Z
74614.166	2019-08-28T14:05:10.000Z
59321.934	2019-08-28T14:05:40.000Z
34310.2	2019-08-28T14:06:10.000Z
33174.166	2019-08-28T14:06:40.000Z
63819.5	2019-08-28T14:07:10.000Z
61069.4	2019-08-28T14:07:40.000Z
56536.967	2019-08-28T14:08:10.000Z
58501.434	2019-08-28T14:08:40.000Z
77637.167	2019-08-28T14:09:10.000Z
76313.8	2019-08-28T14:09:40.000Z
78337.4	2019-08-28T14:10:10.000Z
61684.434	2019-08-28T14:10:40.000Z
74677.3	2019-08-28T14:11:10.000Z
66221.133	2019-08-28T14:11:40.000Z
134005.833	2019-08-28T14:12:10.000Z
126013.866	2019-08-28T14:12:40.000Z
117299.867	2019-08-28T14:13:10.000Z
124536.833	2019-08-28T14:13:40.000Z
137361.734	2019-08-28T14:14:10.000Z
104313.433	2019-08-28T14:14:40.000Z
147359.867	2019-08-28T14:15:10.000Z
194273.7	2019-08-28T14:15:40.000Z
184016.166	2019-08-28T14:16:10.000Z
142348.167	2019-08-28T14:16:40.000Z
166054.267	2019-08-28T14:17:10.000Z
121521.267	2019-08-28T14:17:40.000Z
141230.167	2019-08-28T14:18:10.000Z
163513.9	2019-08-28T14:18:40.000Z
141149.6	2019-08-28T14:19:10.000Z
115941.133	2019-08-28T14:19:40.000Z
96486.833	2019-08-28T14:20:10.000Z
80941.733	2019-08-28T14:20:40.000Z
120103.866	2019-08-28T14:21:10.000Z
127189.234	2019-08-28T14:21:40.000Z
88393.667	2019-08-28T14:22:10.000Z
84836.967	2019-08-28T14:22:40.000Z
29429.933	2019-08-28T14:23:10.000Z
40755.1	2019-08-28T14:23:40.000Z
69912.966	2019-08-28T14:24:10.000Z
64638.6	2019-08-28T14:24:40.000Z
44712.567	2019-08-28T14:25:10.000Z
11910.867	2019-08-28T14:25:40.000Z
15426.1	2019-08-28T14:26:10.000Z
36689.833	2019-08-28T14:26:40.000Z
17496	2019-08-28T14:27:10.000Z
25154.1	2019-08-28T14:27:40.000Z
26058.066	2019-08-28T14:28:10.000Z
25540.967	2019-08-28T14:28:40.000Z
89895.3	2019-08-28T14:29:10.000Z
89355.167	2019-08-28T14:29:40.000Z
70392.733	2019-08-28T14:30:10.000Z
68165.734	2019-08-28T14:30:40.000Z
75599.367	2019-08-28T14:31:10.000Z
72270.9	2019-08-28T14:31:40.000Z
